year,degree,abstract,university,title
2009,Computer Science,"Recent advances that occurred in the last decade in the areas of computer graphics, multime- dia and telecommunication, have influenced the evolution of the manipulation, the use and the transmission of digital data on the Internet. Three-dimensional data are currently the emer- ging media and in this context, 3D objects, or 3D meshes are used in various user-centered applications, which suggests the need to incorporate details of human visual perception in the processing of these meshes. Although excellent work of incorporating principles of perception related to images have been published, there has been little attention paid to the use of metrics, inspired by visual perception, for processing 3D meshes using only the information in it. The mesh, on it’s own, contains geometric information capable of showing repeated patterns that even on high curvature regions are visually unattractive, because it’s the unusual that delights and interests. Based on this description, the concept of mesh saliency was introduced as a measure of regional importance for three-dimensional meshes. This graduate work is contextualized in the computer graphics, which classifies the metrics of visual perception as essential. We propose the generation of images containning more visual content, implementing the algorithm of mesh saliency, introduced by Lee in 2005, using the Meshlab system for processing 3D meshes. From the results obtained with the algorithm, we review some basic concepts of non-photorealistic rendering features, like silhouettes, aiming to create images with greater perceptual and artistic content. We developed an algorithm on NPR to represent images with a greater artistic content considering visually appealing regions.",UFPE,3D Mesh Overhang and Applications in Non-Photorealistic Rendering
2009,Computer Science,"The usage of software product lines (SPL) techniques allows the build of applications on a more efficient way with the strategical reuse of common modules to similar products. In order to satisfy particular requirements of clients, the usage of LPS strategies on the implementation of variations, keeping a low cost of development and maintenance, is an effective solution. This work describes the implementation of the product line of an automatic generating tool to test cases and presents an evaluation of alternative solutions to implement the variations.",UFPE,IMPLEMENTATION AND ANALYSIS OF A SOFTWARE PRODUCT LINE
2009,Computer Science,Not found,UFPE,
2009,Computer Science,"One of the most intense challenges of software engineering is the consolidation of appropriate models to estimate the size of software. These estimates provide data to derive other measures such as effort, time, cost, and also predict the amount of people that will be needed to run the project. However, achieving a high degree of predictability in software projects is a challenge that has long sharpens the researchers. The methods developed to estimate size are the most diverse, ranging from simple analogies between projects by systematic studies using mathematical approaches. This work is composed of an improvement in the process of estimating size of software for projects that follow the Scrum methodology of management. From the author's experience with Scrum and software development company in the Information Technology located in Recife, and carrying a bibliographic literature on the state of the art regarding the estimated size of software will be presented this work.",UFPE,A PROPOSAL FOR IMPROVEMENT IN THE SOFTWARE SIZE ESTIMATION PROCESS FOR PROJECTS MANAGED BY SCRUM
2009,Computer Science,"Every day the software market becomes more competitive, demanding improvements in the processes of development of its competitors. These improvements, in general, are thought in terms of process quality and productivity. To increase productivity, agile methodologies have been a common place, while maturity models and its assessments are the most obvious way to certify the quality of a development process. However, these two things can be seen as conflicting. The objective of this work is to propose the application of agile methodologies for project management in a way adherent to staged CMMI at level 3 in a real context inside UFPE, lining up, through a continuous approach of the CMMI, the project management processes of the Laboratory to the exigencies of an hypothetical appraisal for CMMI Maturity Level 3 (Defined). The process areas related to CMMI's maturity levels 4 and 5 or to Process Management, Engineering or Support are not the target of this work, but its evaluation is suggested for future works.",UFPE,AGILE METHODOLOGIES IN A CMMI CONTEXT 3: CASE STUDY
2009,Computer Science,Not found,UFPE,
2010,Computer Science,"Many technology-based startups do not survive in the first years or are even nothing more than an idea and this happens, among other factors, by lack of information on possible forms and ways to obtain financial resources and, then, have conditions to proceed with their projects. This paper's main objective is to show to the new entrepreneurs what resources are available for their innovative projects and contribute to the success and growth of their enterprises. It is important to note that besides financial resources, other factors are essential for success. A good knowledge base and entrepreneurial training are good examples. The paper concludes with case studies of local startups that made different choices and today are sustainable.",UFPE,Resource Sources for Technology-Based Startups and Business Empowerment
2010,Computer Science,"Graphs are much used as an abstract model for real-world problems. Although, they often need to be transformed to another structure that is more close to an abstraction of the problem. Trees are connected acyclic graphs. They can be obtained through edge removal. One important type of tree is MST (Minimum Spanning Tree) it connects all nodes of the graph with no cycles. Even though it is easy to get sometimes restriction are added to MSTs turning much more difficult for them to be obtained. This kind of problem is so hard that it is more feasible to get an approximation than the real solution. Many techniques were developed trying to get a good way to obtain a good approximated result of constrained MSTs. At this work VNS, EA and ACO approaches are presented as a way to seek this approximation. Afterword they are comparatively evaluated.",UFPE,GRAPH OPTIMIZATION: RESTRICTIVE GENERATOR TREES
2010,Computer Science,"The IEEE 802.11 wireless networks, commonly known as Wi-Fi networks, have been wi- dely used both have been widely used both in homes and in commercial and business environments. These networks have as one of its main problems the security, since the data that travels over these networks are transmitted via electromagnetic waves, which can be easily captured. In this work we present a study of the mechanisms of authen- tication, integrity and confidentiality used by the protocols WEP, WPA, IEEE 802.11i (WPA2) and IEEE 802.11w, which are the existing security protocols for IEEE 802.11 networks. We also analyzed the vulnerabilities of each protocol and the attacks developed against them. Furthermore, we propose and evaluate a defense mechanism that protects the WPA protocol against attacks based on the predictability of certain types of data packets. The proposed mechanism is the major contribution of this work.",UFPE,AN IEEE 802.11 NETWORK SAFETY STUDY
2010,Computer Science,"This work presents a global and local optimization technique, which integrates the potential of three global search algorithms (Tabu Search, Simulated Annealing and Genetic Algorithms) and of a local search algorithm (backpropagation). This technique is used to optimize simultaneously topology, connections weights and MultiLayer Perceptron neural networks activation function, generating minimal topologies with high performance for each problem automatically. To check the method efficiency, experiments were made with seven classification and three prediction datasets.",UFPE,Global Optimization in Artificial Neural Networks
2010,Computer Science,"Many important information flow within an environment of distance learning (DL) and therefore, it is a necessary way to obtain such information in an accurate and pleasing to the user. An efficient way to obtain data in a satisfactory way is by using visualization of information. This monograph has as its motivation, the subject mentioned above. The main goals of research are: to improve and evaluate the usability of a component by viewing, based on treemaps, developed for Amadeus. To improve the component, it was necessary to redraw it, and to use this tool to Balsamiq. Finalized the draft, the component, in fact, been implemented. Its implementation has resulted in the component that is used in Amadeus. Some techniques were essential for evaluating the final product of this monograph, among them are: focus groups and observation.",UFPE,Development of an information visualization component for the Amadeus distance learning platform
2010,Computer Science,"Handwritten word recognition, the process to identify handwritten words automatically, has several applications in the real world, such as in the recognition of handwritten texts and formularies. In order to improve the performance of these systems, some applications are being developed in specific domains, which have some kind of restriction, instead of generic domains. This work discusses many questions about restricted domain systems, as what are the kinds of restriction and their advantages. This work also aims to show a study case with the recognition of words of the months of the year, in Portuguese language, which brings some challenges, as the recognition of common sub-strings among words of the months. The domain of months of the year has several applications, such as bank checks, to automatically identify the months written on the checks, for the purpose of avoiding frauds and miswriting.",UFPE,Recognition System Of Manuscript Words in Restricted Domains
2010,Computer Science,Not found,UFPE,
2010,Computer Science,"Some concepts of Augmented Reality and Human-Computer Interaction allow a large sort of interactive applications in real time. One of the most popular is the Interactive Window, which can be defined as a composed product of equipment, peripherals and software. This product offer an interaction in real time between the user and an application projected into a store’s window. In order to make that possible, these equipments need to have several minimal specifications and they must be positioned correctly. Besides that, theses software need to be configured and executing properly to allow an interaction without errors and noticeable delays to the human eye. The study described in this work represents the analyses and conclusions of a Technical Viability Study of two types of Interactive Window to be developed by Codemedia enterprise. Lastly, it will be presented the main contributions of this work, and also possible future works related to the theme proposed.",UFPE,INVESTIGATION OF THE TECHNICAL VIABILITY OF THE CONSTRUCTION OF AN INTERACTIVE WINDOW
2010,Computer Science,Not found,UFPE,
2010,Computer Science,"The virtual environment using for distance medical diagnosis based on the cooperation between professionals shown to be an excellent alternative to help health assistance to overcome part of the limitations from its more classical model. Amongst the new techniques for supporting diagnosis, image based ones have getting broad attention for its ample use and intense expansion; for the complexity of underlying technology and its fast renewal; and, finally, for the results that it can offer. Thus, a virtual environment aimed at supporting medical diagnosis must provide resources for image manipulation amongst its basic components. The main goal of this work is to present an architecture for storage and manipulation of medical images to fulfill the needs of a virtual environment for distance diagnosis.",UFPE,Architecture of storage and manipulation of medical images for remote diagnostic virtual environments
2010,Computer Science,Not found,UFPE,
2010,Computer Science,"The rapid growth of applications in the area of speech recognition has provided to disseminate a large amount of products that become part of everyday life of the population. For example, we can cite the Call Centers. Nowadays these systems are automatic, that aim to decrease the waiting time and consequently the user satisfaction. This work aims to promote the integration of a voice over IP Server for application development the telephone attendance using resources speech recognition. Initially, the techniques of speech recognition will be presented. Concomitantly with this phase, a database will be created. This database will used the phone as a receiver and voice recorder. Then will be realized the implementation of the system and the results will be refined and optimized and new suggestions for future research will be presented. The results were effective with sucess rates of 93%.",UFPE,Investigation of speech recognition based on a telephone environment
2010,Computer Science,"The classification and extraction of opinions has been subject of many recent studies, since, more than ever, opinion has gained wide space in the internet in blogs, forums and social networks. The study of opinion, feelings and emotions expressed in texts is called Sentiment Analysis [1]. Among some Sentiment Analysis tasks, there is the classification of the polarity of the text, ie, how positive or negative are the opinion expressed therein. In this context, this study aims to study and implement classification algorithms based on techniques of feature extraction and selection. It relies mainly on the document classification tecnique proposed by Abbasi et. al. [2], however we apply them to Twitter documents, while in [2] these tecniques was applied to documents of discussion forums. In addition, a new feature is added to the originally proposed ones that takes into account the semantic influence of a particular set of words. At the end, we conduct a comparison between the presented results in [2], with the results of this study. Following, we develope a comparison between the results of this last experiment and the ones presented by the sistem where the new semantic feature is inserted.",UFPE,SENTIMENT ANALYSIS IN SOCIAL NETWORKS USING THE INFLUENCE OF WORDS
2010,Computer Science,Not found,UFPE,
2010,Computer Science,Not found,UFPE,
2010,Computer Science,Not found,UFPE,
2010,Computer Science,"Pedestrian detection is a task usually associated with security and surveillance sys- tems. The development of a pedestrian detection system poses a hard challenge, since they can assume many different forms. In this work, we present an analysis of an existing pedestrian detection model based on PCA reconstruction errors that also use edge images to reduce unecessary variation. We investigate how the method works and where changes can be made to improve its original performance. The proposed improvements enhance the system’s accuracy by using weights, that are found in an automated way using a genetic algorithm. We also found that some reconstruction errors used by the original method are not strictly necessary and therefore can be eli- minated to reduce the classifying time by half. Finally, we tested the classifier with different edge methods, to find out how this choice affects the system’s performance.",UFPE,Weighted Error of Reconstruction with PCA for Pedestrian Detection in Images
2010,Computer Science,Not found,UFPE,
2011,Computer Science,"Robustness and reliability are qualities of a good application. But to be a robust and reliable system it is required that they be prepared for exceptional situations. Therefore it is necessary that when an exceptional behavior occurs, the system keep working as specified. To ensure the good functionality of the exceptional behavior, testing it is necessary. To test the exceptional behavior, a light and agile approach was created. This work will validate the approach of testing exceptional behavior. It will show the concepts, the steps to be followed for testing the application and the support tool for this approach. To validate, the approach will be applied in a real system and the results obtained with the approach will be shown.",UFPE,Validation of an Approach to Test for Exceptional Behavior
2011,Computer Science,"Currently, tools belonging to theReporting Tools category allow their users to create data sets from the results of SQL (Structured Query Language) queries, but do not present option to create functions and procedures. These routines of fourth generation programming languages extend the SQL power, adding common constructions from procedural languages, making it sufficiently powerful to play an important role in the creation of more complex reports. Thus, the main objective of this work is to extend the current model of reports generation tools to allow the deployment of fourth generation languages of database systems from graphical elements, with no need for code writing.",UFPE,Tool for Reporting in Databases using Fourth Generation Languages
2011,Computer Science,Not found,UFPE,
2011,Computer Science,Not found,UFPE,
2011,Computer Science,"A startup is a group of people looking for a repeatable and scalable business model, working in conditions of extreme uncertainty [1]. To find the combination of Product/ Market repeatable and scalable, the Lean Startups are organizations devoted to learning, seeking to transform their hypotheses about the market proven facts. One of the initial steps of this process of learning is to externalize the hypotheses that the founders have over the business. It is a necessary exercise, but may end up winning an unnecessary depth at some points not relevant to a project in its initial phase. The main objective of this phase is the entrepreneur can articulate about the most important question: what is the startup's business model? Not coincidentally, this is also the number one question for investors [2]. In this context, there is this work that has as main objective to create a web tool to guide project teams based technology in the context of startups, creating innovative business models and with great market potential. The tool will be integrated into a system that will help startups from the analysis of the market you want to play (goal of the work of graduate student Tiago Carneiro Pessoa Canto), through innovative business model that aims to deploy (objective of this study) and finally the selection and organization of the key activities of the project (purpose of the work of graduate student Tiago da Fonte Leite). As a result, it is expected to create an easy to use web system where companies and small teams to design innovative business model without the need to learn in depth the methodologies that guided them during use. It is intended in the next semester (2012.1) the use of this project on Projeto de Desenvolvimento matter of Center of Informatics of Federal University of Pernambuco.",UFPE,Tool for creating innovative business models through the methodologies Business Model Generation and Four Actions Framework focusing on technology- based projects
2011,Computer Science,"The Balanced Scorecard (BSC) is one of the most used and more efficient tools nowadays for support and monitoring the Strategic Plan. The BSC was first introduced by Robert Kaplan and David Norton by publishing the article ""The Balanced Scorecard - Measures That Drive Performance"" in the Harvard Business Review in 1992. This tool is useful for all companies, whether large, medium or small, and governmental and nonprofit organizations. The Centro de Informática (CIn) is a government entity. However, CIn welcomes foreign investment and should have as its goal to maximize these investments and apply them in order to enhance the entire community. It is also important to have as a goal improving student performance and, consequently, the evaluation of courses from the center in the Ministério da educação. Created to solve problems of performance evaluation, the tool proved to be very effective in helping implementing new strategies in organizations and creating value for stakeholders. Institutions of higher education, which usually have poor performance evaluation tools and weak culture of strategic management, have the possibility, through the BSC, to improve performance and achieve the objectives outlined in the strategic plan. This study aims to develop a BSC for the Centro de Informática, to improve the management of the strategic plan drawn in 2008. The creation of indicators for monitoring the objectives defined is the form used by the BSC to perform this monitoring.",UFPE,Elaboration of Balanced Scorecard (BSC) for the Computer Center
2011,Computer Science,"Dynamic balancing techniques can be applied in almost all genres of games, but a very interesting genre for use is that of massively multiplayer online games (MMOG), whose commercial importance has experienced a growth spurt in the last five years, marked by a broad range of games such as World of Warcraft, and casual games on social networks. A particular instance of MMOGs is that of the massively multiplayer online role playing games (MMORPG), of which quests are the fundamental elements, representing tasks to be performed by the player in exchange for rewards. This paper proposes a parametric model representation of quests tailored to the problem of dynamic balancing in MMORPGs, with a hierarchical classification of quests, and the development of a tool for editing and managing quests in the specified representation format.",UFPE,Dynamic Quests Balancing on MMORPGs
2011,Computer Science,"Clustering is a technique that groups a set of items into groups so that items of the same group are similar and items in different groups have a greater dissimilarity. The Self-Organizing Maps of Kohonen (SOM) consists of a neural network method that besides provides an unsupervised classification of the data also gives a visual representation of them. This work aims at proposing a data clustering algorithm based on SOM, with the neighborhood function the Manhattan distance, due to its lower sensitivity and robustness of data with outliers, and also a version that uses an adaptive factor of relevance for the variables.",UFPE,SELF-ORGANIZABLE KOHONEN MAPS WITH MANHATTAN DISTANCE AUTOMATIC VARIABLES BASED ON MANHATTAN DISTANCE
2011,Computer Science,Not found,UFPE,
2011,Computer Science,"The development of software for internet is becoming one of the most proeminet working areas of software engineering nowadays. To meet this growing demand in the development of software for this platform, new ways to project and to model applications are strictly necessary. This paper proposes a descriptive study of the model of Social Machines for web applications. The whole model will be presented in detail, as well as its characteristics and properties. A complete review of the features and weaknesses of the model is done. Furthermore, a comparison between this model and other models used today is presented.",UFPE,Development of Web Applications Under the Social Machines Model
2011,Computer Science,"This paper proposes the use of a DSL for use in software product lines for the Kinect sensor. Initially we discuss the evolution of interfaces in a historical perpective to analyze the potential of the device under study in the market. The concepts of natural user interfaces and its principles and concepts involved in software factories are discussed. With these understandings, a methodology called SharpLudus is put into practice in order to build a DSL to a restricted domain of Kinect games, the genre of sports games. With the results provided by the use of this methodology a DSL called Kinetic Gesture Language (KGL) is defined, demonstrating efficiency, increasing productivity and reducing the development time. An analysis detailing aspects of the use of this generated tool is done in a case study.",UFPE,Building a DSL for gesture recognition using Kinect
2011,Computer Science,"The social phenomena of information dissemination and opinion formation has been studied for decades in many areas of knowledge, nevertheless, its theories could not be confirmed due to the difficulty to collect the necessary information, as well as the com- plexity that those phenomena involve. This work aims to help with the understanding of those social phenomena by observing the general behavior of individuals in an information social network. For this analysis, techniques of Social Network Analysis aligned with communication theories were used. The obtained results show that observing other variables of behavior, like user passivity, is a valid approach to identify influentials in a determined topic.",UFPE,Influence and passivity in social networks
2011,Computer Science,"In recent decades, it was possible to notice that large companies around the world began to use the strategy of Distributed Software Development (DSD) as a way of building competitive advantages. Aiming at the expansion of these advantages, many of these companies add to the DSD strategies for team motivation. However, the motivation for DSD teams revealed some peculiarities that must considered. This paper presents an exploratory study of the themes of DSD and Motivation. And aims to gather and analyze of key success factors for DSD teams motivation. For this, the research is based on the method of literature review, in order to aggregate the existing concepts about the relevant research areas. At the end, were gathered eleven success factors and analyzed one by one, then, they were categorized according to a proposal that integrates concepts from Maslow ́s and Herzberg ́s motivational theories. The results show that the factors are related to different levels of motivation, even though the factors related to higher levels are dependent on the most basic factors.",UFPE,SUCCESS FACTORS FOR THE MOTIVATION OF DISTRIBUTED SOFTWARE DEVELOPMENT TEAMS
2011,Computer Science,"The Relational DBMS has replaced storage on Plain Archive systems. Using tables for storing data and making use of English language commands to insert and manipulate data, these systems had taken a quick ascension and had taken over the market, maintaining their leadership until today. For their great success a large variety of tools were developed to help a bunch of aspects in management of databases. Their functionality go from simple tools that allow diagram drawing of the base model, to more complex tools of table viewing which allows the change of data without a command in SQL syntax. Certain limitations appear in handling more complex data types. The Object Oriented paradigm comes into being to show some disadvantages from the Relational Paradigm. But this new paradigm also has a lot of disadvantages such as the high cost to perform queries. The resolution proposed by the greater database vendors was to extend the relational database to Object Oriented concepts. The Object-relational paradigm, thus, mixes the best features of those two worlds. Although very promising, this new system suffers from the lack of specific CASE tools for modeling and maintenance. This work proposes the creation of a CASE tool that supports the modeling process and the initial building of a new database. This tool provides a new way of creating Extended ER diagrams that can be converted lately in fourth generation language code such as PL/SQL following the Object -Relational- paradigm.",UFPE,A Case Tool for Modeling Object-Relational Databases
2011,Computer Science,"According to Sitelmark, only in São Paulo, the growth rate of the Call Centers is estimated for the year of 2011 in 8%, and the national incoming of the Call Centers, in 2010, close to R$ 10,000,000.00. Analyzing this growing scenario and seeing that the speech recognition technology is quite expensive nowadays, this work investigates a Call Center environment e verify if, because of the speech recognition, some rates that affects directly on the productivity and profits of the company have reached better levels, making this technology being used to better satisfy the customers. One URA with speech recognition will be developed and will start operating until November’s half, when we’ll analyze the data and investigate if, with this technology, the productivity and error’s flow of the projects that it’s involved will improve.",UFPE,INVESTIGATION OF A CALL CENTER ENVIRONMENT USING TALK RECOGNITION
2011,Computer Science,"Service Oriented Architecture (SOA) has emerged as one of the preferred approaches for building systems. With Goals aligned to the goals of the SOC paradigm, SOA enables the creation of new applications with greater consistency, speed and decrease in costs, all with excellent use of the legacy. Therefore, the construction of service- oriented applications tend to have greater agility, flexibility and reuse of pre-existing components. In this context, modules can consume services provided by different technologies, only identifying the required service and performing the binding, thus establishing a contract between the consumer and the service provider, defined by SLAs (Service Level Agreement). However, ensure that these contracts are properly carried out is an important and complex task for service providers. This work aims to specify and build a mechanism for dynamic management of service providers, focused on prevention of possible breaches of contract depending on the context in which the service provided is performed.",UFPE,A Dynamic Monitoring and Adaptation Mechanism for Service Providers Based on Quality Attributes
2011,Computer Science,"The companies aim, increasingly, for success, efficiency and flexibility on their business processes. A few years ago, Business Process Management (BPM) governance has become a critical approach to ensure these factors, however it has still somewhat imprecise and heterogeneous concepts and gaps to be filled. In this context, the search sought to identify, measure and quantify the data produced in this area by the method of systematic mapping studies, to provide better basis for professionals and researchers. Thus, 36 studies – published 2000 to date – were selected in order to extract the main definitions of BPM governance, the methodological context, the main elements of BPM governance and the effects of deployment of BPM governance for companies. After the identification of evidence, these were analyzed and categorized systematically according to the topics investigated. Finally, by combining the results evidenced, it was proposed a mapping that added the knowledge in the area. In addition, this work has cooperated to a better understanding on the BPM governance contributing to professionals of this area who may use the evidence to guide, implementing or even improving governance in their companies. It is hoped, also brought aid to researchers providing them subsidies for new experimental studies.",UFPE,Governance of Business Process Management: A Systematic Mapping of Literature
2011,Computer Science,"Timetabling consists in making a timetable where, at each day x hour timeslot, events are scheduled to happen in a given place. This timetable making is one of the biggest problems faced by teaching institutions in order to build a complete schedule of the classes and tests of each subject for the whole year. In this work we deal with the problem modelling and present the guided search genetic algorithm thecnique to make an automatic timetable maker, showing the achieved results at the end.",UFPE,SAPA - Teacher Allocation System and Classroom Scheduling
2011,Computer Science,Not found,UFPE,
2012,Computer Science,"Currently many organizations decide to create or to be part of a software ecosystem due to the competitive advantage that this approach can offer, due to increased supply base for existing users, the ability to attract new users, the acceleration of innovation and cost sharing. These benefits and opportunities, however, are accompanied by various obstacles that are imposed by this new approach. The focus of this research is to analyze the changes from them to present some aspects which can be influenced or may influence the ecosystem as a whole in a positive or negative way. Knowing these aspects can be the key to minimizing or even to delete the obstacles inherent in a global approach and seize opportunities and benefits brought by it. To facilitate the identification and analysis of these aspects, they will be viewed from three perspectives: social, managerial and business. The social aspects/perspectives will include communication, relationships, motivation and collaboration among members, the managerial aspects involve geographical distance, diverse cultures, different languages and architecture and the business aspects will cover investments, processes and tacit knowledge. To illustrate this study, an example of a real software ecosystem is provided at the end of this document.",UFPE,Analysis of aspects that affect the emergence and development of a Software Ecosystem
2012,Computer Science,"This graduate work presents the analysis of evaluation results, for a sample of users, of improvements in iStarTool’s Syntax Checker, developed from identification and fix of some base problems arising of insertion of fixer and checker of i* models. The iStarTool is a tool developed by Laboratório de Engenharia de Requisitos of Centro de Informática of Universidade Federal de Pernambuco and have as end be used in make models of requeriments, with the objective in reduction of risk in Software Projects and increase end quality of this. It is believed that the improvement proposed in this work soften the learning curve, facilitating good practice in Requirements Engineering.",UFPE,Development of Syntax Checker for iStarTool
2012,Computer Science,"In the security context of multimedia applications, digital video encryption intends to assure the confidentiality of the information contained in this type of media. An existing cryptographic system is based on permutation transformations and applies the encryption prior to the coding stages in order to preserve or improve the spatial correlation of the video frames. The technique has a very good performance, in compression rate and video quality, with low motion video sequences. However, the possible improvement on the spa- tial correlation depends on the temporal correlation between consecutive frames. Hence, in videos with considerable motion, the technique’s performance decreases significantly. The objective of this work is to propose modifications on the permutation computation and a mechanism to explore the video temporal correlation more properly by using mo- tion estimation algorithms to obtain a better performance, in terms of processing time, compression rate and video quality, especially in high motion video sequences.",UFPE,ENCRYPTION AND COMPRESSION OF DIGITAL VIDEO BASED ON PERMUTATION
2012,Computer Science,"A project has activities carried out by a team of people who work for a common goal. There are several methodologies for software development that are used to create a practical approach to project management, to organize these activities and to assess factors such as time, cost, quality and human resources. In this process, the effort estimation activity is a key element for the success of the project. This practice has been used in both traditional and agile methods. Measurable data are derived from the use of estimation techniques on the project size metric, ranging from analogies between projects based on developer experience to methodical approaches using mathematical models. One of these techniques is the Planning Poker, which is an agile estimation technique. Due to the interactive and practical nature of it, agile teams can estimate and assimilate task sizes very fast. Nevertheless, the Planning Poker has some limitations, such as the fact that it doesn’t work well in distributed agile teams and the face-to-face interaction is the very essence of it. There are some tools available to estimate by playing it, each one has positive and negative features. This final work presents a Planning Poker approach. From there, the main idea is to propose a practical tool to estimate using this technique, focused on Scrum teams, and to be applied to the project management and monitoring.",UFPE,Planning support tool based on Planning Poker using Scrum methodology
2012,Computer Science,"Aspect oriented languages promote separation of concerns by enabling the modularization of crosscutting concerns. Among these languages two categories can be devised that represent how they expose the joinpoints of a program (points or events in the execution of a program where crosscutting concerns must interact with non-crosscutting ones). Some of them expose a fixed (implicit) set of joinpoints, while others require that developers explicitly indicate where both types of concern are allowed to interact. A distinctive example of a crosscutting concern that can be modularized with aspect oriented languages is the exception handling of a program. Several studies have been conducted to understand the adequacy of implicit jointpoint aspect oriented languages, like AspectJ, for the modularization of such concern [Lippert e Lopes 2000; Castor Filho et al. 2009; Taveira et al. 2009]. This work, in turn, intends to perform an initial assessment regarding an aspect oriented language with explicit events and the exception handling of an existing program. We intend to present the Ptolemy language [Rajan and Leavens 2008; 9] as well as its capabilities and limitations for the exception handling of a system.",UFPE,Modularization of the Treatment of Exceptions with Explicit Events
2012,Computer Science,"The automatic location of objects is one of the most promising applications of Active RFID-based systems. Among the RFID systems able to automatically providing the lo- cation of objects are the LANDMARC and VIRE. While the first has well understood performance, the second still needs research that provide better subsidies about its lo- cation efficiency under different signal propagation conditions and about the impact of the choice of its design parameters. This Undergraduate Final Project presents a per- formance evaluation and analysis of the VIRE. Such system is evaluated and analyzed through simulations that consider an indoor environment with a communication channel under different signal propagation conditions. The main contributions of this work are in the performance evaluation, in identifying potential enhancements the VIRE system and in identifying challenges involved in its optimization.",UFPE,AN EVALUATION OF THE PERFORMANCE AND ANALYSIS OF THE RFID VIRE
2012,Computer Science,Not found,UFPE,
2012,Computer Science,"There are many formalism for proof in classical logic. One of them is the Natural Deduc- tion, where rules and derivations are defined as natural as possible, coming very close to the human reasoning. Based on it, de Oliveira presents on her work called “Proofs From a Geometric Perspective” the N-graphs: A multiple conclusion proof system for classic propositional logic. This system aims the study of structural aspects of proofs. Despite being a very natural calculus, the natural deduction has little influence on automated proving systems. Other formalisms grounded on the work of Herbrand and on Gentzen’ sequent calculus has been fundamental for this purpose. This work aims to design a proof assistant for N-graphs, developing an automated proof generation mecha- nism. To achieve that, strategies for proof verification and generation will be made for the ¬, ∧ and ∨ N-graph fragment.",UFPE,PROJECT OF AN ASSISTANT OF TESTS FOR THE N-GRAFOS
2012,Computer Science,"The idea of university as an isolated environment, where researchers work unsynchronized with the needs of the society, is not accepted anymore. The participation of the teaching and researching institutes as a fundamental actor on provision of applicable knowledge to improvement of quality of life is now considered indispensable. Hence, the existent time difference between researches developed at the university and its application must be reduced, so that one can perceive the permeability between the sources of scientific knowledge and the respective practical uses on the daily life of the society where the university is present.",UFPE,Performance of the Center of Informatics of the Federal University of Pernambuco in the Process of Technological Transfer of Innovative Academic Activities
2012,Computer Science,"The global market's high level of competitivity created a need for corporations to find solutions that guarantee their survival. One of the solutions was to decentralize development to obtain advantages from several different locations, like specialized labor, tax incentives, etc. As competition in the area of IT is also elevated and the softwares are easily handled (send, decompose and unite), IT companies begun to use Distributed Development of Software (DDS). However, acquiring quality communication, the main critical factor for this kind of project, was also a big challenge to overcome, since distributed teams tend to communicate less and more poorly, due to the spatial distance between them. With the arrival of Web 2.0 and its tools, it was clear that these tools' features met the need of aid and communication of DDS. Because of this, studies regarding this subject emerged and the Web 2.0 tools begun to be used in DDS projects. This graduation monograph aims to list and analyze the use of Web 2.0 tools in the aid to communication on DDS. To achieve this objective, this work performs a bibliographical review on its main subjects (DDS, Web 2.0, its tools and its uses on DDS) and, posteriorly, will create a theoretical foundation and a qualitative research on these subjects. The expected result is to obtain a panorama of the usage of Web 2.0 tools on the communication between DDS project teams.",UFPE,WEB 2.0 TOOLS SUPPORTING DISTRIBUTED SOFTWARE DEVELOPMENT COMMUNICATION
2012,Computer Science,"Most startups fail in an attempt to develop all product-market. But for the failure rates decrease many scholars, consultants and founders of startups developing or have developed, based on their experiences, several ways to manage a fledgling company to success. In this context, this work is available through extensive research, several processes that assist in the discovery and development of the market. Methodologies such as Customer Development, Lean Startup, and Running Lean, each one created respectively by Steve Blank, Eric Ries, and Ash Maurya. In each method presented is possible to realize the influence that each exerts on the other and the points in common. Also available in this research are some tools to help search for a scalable business model, for example, some interviews practices, business model canvas and lean canvas. As a result, besides the analysis of the three cases, was held to design a new system of management startups, which will assist in making decisions and assist in measuring the metrics.",UFPE,Breaking down Lean Startup: Decision support system for validating hypotheses and improving the learning cycle
2012,Computer Science,"There are many studies on the problem of portfolio optimization and the use of heuristic techniques for investigating the optimal portfolio. However, almost none of these studies work with the algorithm of artificial bee colony (CAA). In the cardinality constrained mean–variance model (CCMV), the portfolio optimization problem is a mixed-integer quadratic programming (nonlinear) for which efficient algorithms do not exist. The objective of this study was to apply the technique of CAA to the problem of portfolio optimization. The set of test data used is formed by the weekly price indices: Hang Seng, Hong Kong, DAX 100 in Germany, FTSE 100 UK, S & P 100 U.S. and Nikkei 225 in Japan between March 1992 and September 1997. The results of this study showed that CAA had better results than other optimization algorithms compared: genetic algorithm, tabu search, simulated annealing, PSO. Because for the stock Hang Seng, FTSE 100 and S&P 100 both the value of the Mean Euclidian distance and the values of the variance error and return error were lower, showing that the values are better. However, for the actions DAX 100 and Nikkei 225, even the CAA obtained lower values for the distance, showed higher values for the variance error and return error, with it, cannot be said that the results were better than the other algorithms but that was as favorable as they are. From the results it is concluded that the algorithm of artificial bee colony is successful in portfolio optimization.",UFPE,Use of the Bees' Artificial Colony algorithm for portfolio optimization problems Graduation Work
